r1,r2,a1,E
1.2,1.2,170.0,-75.98570425
1.2,1.2,180.0,-75.98125757
1.2,1.3,90.0,-76.04418195
1.2,1.3,100.0,-76.04477864
1.2,1.3,110.0,-76.0408423
1.2,1.3,120.0,-76.03283264
1.2,1.3,130.0,-76.02127471
1.2,1.3,140.0,-76.00684187
1.2,1.3,150.0,-75.99054634
1.2,1.3,160.0,-75.97417171
1.2,1.3,170.0,-75.96100707
1.2,1.3,180.0,-75.95574409
1.2,1.4,90.0,-76.02579028
1.2,1.4,100.0,-76.0254892
1.2,1.4,110.0,-76.02096103
1.2,1.4,120.0,-76.01259583
1.2,1.4,130.0,-76.0007947
1.2,1.4,140.0,-75.98604659
1.2,1.4,150.0,-75.96909467
1.2,1.4,160.0,-75.95139316
1.2,1.4,170.0,-75.93625847
1.2,1.4,180.0,-75.92983909
1.2,1.5,90.0,-76.00762040000001
1.2,1.5,100.0,-76.00660089
1.2,1.5,110.0,-76.00166843
1.2,1.5,120.0,-75.99315314
1.2,1.5,130.0,-75.9813462
1.2,1.5,140.0,-75.96656483
1.2,1.5,150.0,-75.94926599
1.2,1.5,160.0,-75.93042816
1.2,1.5,170.0,-75.91297578
1.2,1.5,180.0,-75.9048311
1.3,1.3,90.0,-76.0269615
1.3,1.3,100.0,-76.02666407
1.3,1.3,110.0,-76.02208396
1.3,1.3,120.0,-76.01362691
1.3,1.3,130.0,-76.00170898
1.3,1.3,140.0,-75.98684318
1.3,1.3,150.0,-75.96982266
1.3,1.3,160.0,-75.95219998
1.3,1.3,170.0,-75.93737543
1.3,1.3,180.0,-75.93120062
1.3,1.4,90.0,-76.0087937
1.3,1.4,100.0,-76.00775133
1.3,1.4,110.0,-76.00268869
1.3,1.4,120.0,-75.99396323
1.3,1.4,130.0,-75.9818866
1.3,1.4,140.0,-75.96680998
1.3,1.4,150.0,-75.94927614
1.3,1.4,160.0,-75.93048502
1.3,1.4,170.0,-75.91372084
1.3,1.4,180.0,-75.90629794
1.3,1.5,90.0,-75.99085538
1.3,1.5,100.0,-75.98922847
1.3,1.5,110.0,-75.9838462
1.3,1.5,120.0,-75.97503105
1.3,1.5,130.0,-75.96300450000001
1.3,1.5,140.0,-75.94796908
1.3,1.5,150.0,-75.93021074
1.3,1.5,160.0,-75.91046797
1.3,1.5,170.0,-75.89151903
1.3,1.5,180.0,-75.8823137
1.4,1.4,90.0,-75.99086112
1.4,1.4,100.0,-75.98921204
1.4,1.4,110.0,-75.98375203
1.4,1.4,120.0,-75.97481811
1.4,1.4,130.0,-75.96263852
1.4,1.4,140.0,-75.94742743
1.4,1.4,150.0,-75.92950863
1.4,1.4,160.0,-75.90974159
1.4,1.4,170.0,-75.89116681
1.4,1.4,180.0,-75.88243967
1.4,1.5,90.0,-75.97316085
1.4,1.5,100.0,-75.9710518
1.4,1.5,110.0,-75.96533397
1.4,1.5,120.0,-75.95634291
1.4,1.5,130.0,-75.94423742
1.4,1.5,140.0,-75.92910628
1.4,1.5,150.0,-75.91105276
1.4,1.5,160.0,-75.89052419
1.4,1.5,170.0,-75.87000772
1.4,1.5,180.0,-75.85952891
1.5,1.5,90.0,-75.95569532
1.5,1.5,100.0,-75.95324531
1.5,1.5,110.0,-75.94730926
1.5,1.5,120.0,-75.93826528
1.5,1.5,130.0,-75.92622334
1.5,1.5,140.0,-75.91116690000001
1.5,1.5,150.0,-75.89301534
1.5,1.5,160.0,-75.87188229
1.5,1.5,170.0,-75.84977190000001
1.5,1.5,180.0,-75.83772601
